Data de Nascimento,Sexo,CPF,Município,Estado,Doenças Preexistentes,Alergias,Histórico de Hábitos de Vida,Diagnósticos,Data da Consulta,Exames,Medicações Prescritas,Procedimentos de Enfermagem,Data e Horário de Admissão,Data e Horário de Alta,Data e Horário de Readmissão,Índice de Satisfação,Ocupação de Leito,Ocupação da Enfermaria,Óbito
1971-07-18,F,973.485.016-48,Caracaraí,RR,Asma,Nenhuma,Sedentário,Infecção urinária,2024-09-27,Tomografia,Metformina,Coleta de sangue,2024-09-22,2024-09-24,2024-09-25,4,Sim,Enfermaria 2,Não
1947-02-18,M,370.491.628-50,Mucajaí,RR,Hipertensão,Nenhuma,Moderadamente ativo,Bronquite,2024-04-25,Tomografia,Salbutamol,Monitoramento de glicose,2024-04-22,2024-04-27,2024-04-27,0,Não,Enfermaria 4,Sim
1956-10-04,M,153.089.246-51,Caroebe,RR,Câncer,Glúten,Moderadamente ativo,Covid-19,2024-05-30,Hemograma,Ibuprofeno,Oxigenoterapia,2024-05-28,2024-06-02,2024-06-02,3,Sim,Enfermaria 5,Sim
1948-04-22,M,278.051.634-80,Iracema,RR,Diabetes,Nenhuma,Moderadamente ativo,Covid-19,2024-09-05,Raio-X,Insulina,Coleta de sangue,2024-09-01,2024-09-02,2024-09-06,3,Não,Enfermaria 2,Não
1973-07-14,F,189.042.675-01,Amajari,RR,Asma,Nenhuma,Sedentário,Covid-19,2024-09-05,Eletrocardiograma,Metformina,Coleta de sangue,2024-09-01,2024-09-05,2024-09-05,3,Sim,Enfermaria 2,Sim
1955-10-21,M,214.359.608-15,Boa Vista,RR,Hipertensão,Polen,Moderadamente ativo,Gripe,2024-07-02,Tomografia,Ibuprofeno,Oxigenoterapia,2024-06-28,2024-07-02,2024-07-02,5,Não,Enfermaria 3,Não
1971-09-26,F,259.076.384-00,Alto Alegre,RR,Hipertensão,Penicilina,Moderadamente ativo,Infecção urinária,2024-08-09,Tomografia,Paracetamol,Coleta de sangue,2024-08-05,2024-08-08,2024-08-08,5,Sim,Enfermaria 2,Não
1996-10-15,F,129.638.045-98,Normandia,RR,Asma,Lactose,Ativo,Covid-19,2024-04-01,Eletrocardiograma,Ibuprofeno,Monitoramento de glicose,2024-03-29,2024-03-30,2024-03-30,5,Sim,Enfermaria 5,Não
1954-01-01,M,934.827.150-41,Bonfim,RR,Hipertensão,Nenhuma,Sedentário,Bronquite,2024-07-13,Eletrocardiograma,Metformina,Oxigenoterapia,2024-07-08,2024-07-13,2024-07-18,3,Não,Enfermaria 5,Não
1982-09-08,F,492.316.875-73,Iracema,RR,Diabetes,Glúten,Ativo,Gripe,2024-08-30,Eletrocardiograma,Salbutamol,Oxigenoterapia,2024-08-28,2024-09-01,2024-09-01,0,Sim,Enfermaria 1,Não
1950-09-03,M,847.210.695-02,Alto Alegre,RR,Nenhuma,Polen,Moderadamente ativo,Infecção urinária,2024-06-06,Tomografia,Ibuprofeno,Coleta de sangue,2024-06-03,2024-06-05,2024-06-11,5,Sim,Enfermaria 3,Sim
1984-06-23,F,436.172.589-64,Pacaraima,RR,Doença cardíaca,Nenhuma,Ativo,Gripe,2024-08-04,Raio-X,Paracetamol,Monitoramento de glicose,2024-08-01,2024-08-05,2024-08-05,4,Sim,Enfermaria 3,Não
1988-08-24,F,237.549.016-99,Amajari,RR,Câncer,Penicilina,Moderadamente ativo,Bronquite,2024-05-12,Hemograma,Insulina,Monitoramento de glicose,2024-05-08,2024-05-09,2024-05-09,1,Não,Enfermaria 5,Não
1968-04-25,F,963.108.452-33,São Luiz,RR,Asma,Nenhuma,Sedentário,Infecção urinária,2024-06-27,Eletrocardiograma,Paracetamol,Oxigenoterapia,2024-06-25,2024-06-27,2024-06-27,1,Não,Enfermaria 3,Sim
1988-06-19,F,728.964.310-04,Pacaraima,RR,Hipertensão,Nenhuma,Ativo,Covid-19,2024-09-19,Urocultura,Insulina,Oxigenoterapia,2024-09-15,2024-09-19,2024-09-19,5,Sim,Enfermaria 1,Não
1970-06-01,M,346.728.091-96,São Luiz,RR,Diabetes,Nenhuma,Sedentário,Infecção urinária,2024-07-12,Eletrocardiograma,Insulina,Oxigenoterapia,2024-07-09,2024-07-13,2024-07-23,1,Não,Enfermaria 1,Não
1976-12-12,F,051.948.637-48,Uiramutã,RR,Asma,Glúten,Moderadamente ativo,Alergia,2024-07-06,Hemograma,Ibuprofeno,Monitoramento de glicose,2024-07-04,2024-07-06,2024-07-06,4,Não,Enfermaria 1,Não
1966-06-02,M,276.408.315-71,Cantá,RR,Nenhuma,Lactose,Sedentário,Covid-19,2024-08-08,Tomografia,Ibuprofeno,Coleta de sangue,2024-08-04,2024-08-08,2024-08-17,3,Não,Enfermaria 3,Não
1971-03-29,F,024.865.917-02,Pacaraima,RR,Hipertensão,Glúten,Ativo,Covid-19,2024-01-28,Tomografia,Metformina,Oxigenoterapia,2024-01-25,2024-01-27,2024-01-27,2,Não,Enfermaria 1,Sim
1992-12-12,F,236.495.718-46,Normandia,RR,Nenhuma,Lactose,Moderadamente ativo,Covid-19,2024-06-16,Tomografia,Ibuprofeno,Monitoramento de glicose,2024-06-15,2024-06-17,2024-06-25,4,Não,Enfermaria 1,Sim
1982-07-28,F,165.372.940-61,Pacaraima,RR,Nenhuma,Lactose,Ativo,Alergia,2024-06-04,Hemograma,Ibuprofeno,Coleta de sangue,2024-06-01,2024-06-05,2024-06-05,5,Não,Enfermaria 5,Não
1989-05-30,F,726.951.843-28,Amajari,RR,Doença cardíaca,Glúten,Ativo,Gripe,2024-06-14,Eletrocardiograma,Metformina,Oxigenoterapia,2024-06-11,2024-06-16,2024-06-22,4,Sim,Enfermaria 4,Sim
1969-01-09,F,540.819.762-01,São Luiz,RR,Câncer,Lactose,Moderadamente ativo,Gripe,2024-01-14,Raio-X,Metformina,Oxigenoterapia,2024-01-13,2024-01-18,2024-01-28,2,Não,Enfermaria 1,Não
1984-06-08,M,058.479.312-04,São João da Baliza,RR,Câncer,Nenhuma,Moderadamente ativo,Gripe,2024-04-06,Tomografia,Salbutamol,Oxigenoterapia,2024-04-05,2024-04-09,2024-04-09,0,Sim,Enfermaria 5,Não
1994-11-27,F,129.804.657-20,Rorainópolis,RR,Câncer,Nenhuma,Sedentário,Gripe,2024-01-18,Eletrocardiograma,Ibuprofeno,Oxigenoterapia,2024-01-16,2024-01-21,2024-01-26,0,Sim,Enfermaria 5,Não
1973-11-20,M,491.526.803-98,Boa Vista,RR,Doença cardíaca,Nenhuma,Ativo,Bronquite,2024-05-26,Hemograma,Metformina,Coleta de sangue,2024-05-22,2024-05-25,2024-06-02,4,Sim,Enfermaria 1,Não
1970-01-19,M,459.681.302-70,Uiramutã,RR,Câncer,Penicilina,Moderadamente ativo,Bronquite,2024-05-07,Eletrocardiograma,Ibuprofeno,Oxigenoterapia,2024-05-02,2024-05-03,2024-05-07,0,Não,Enfermaria 3,Não
1944-01-01,F,823.794.165-91,Mucajaí,RR,Asma,Glúten,Ativo,Alergia,2024-08-18,Tomografia,Ibuprofeno,Coleta de sangue,2024-08-17,2024-08-22,2024-08-26,0,Não,Enfermaria 4,Sim
1994-06-23,M,827.406.135-71,Rorainópolis,RR,Asma,Polen,Sedentário,Covid-19,2024-02-04,Tomografia,Salbutamol,Monitoramento de glicose,2024-02-02,2024-02-04,2024-02-07,3,Não,Enfermaria 1,Sim
1977-02-16,M,186.359.042-06,Bonfim,RR,Diabetes,Nenhuma,Sedentário,Covid-19,2024-04-22,Eletrocardiograma,Insulina,Monitoramento de glicose,2024-04-21,2024-04-23,2024-04-23,1,Não,Enfermaria 3,Sim
1957-03-11,F,913.764.802-04,Caracaraí,RR,Nenhuma,Nenhuma,Ativo,Covid-19,2024-07-26,Eletrocardiograma,Insulina,Oxigenoterapia,2024-07-25,2024-07-28,2024-08-06,0,Não,Enfermaria 1,Sim
1996-05-29,F,192.076.485-20,Cantá,RR,Doença cardíaca,Polen,Ativo,Covid-19,2024-09-20,Raio-X,Ibuprofeno,Monitoramento de glicose,2024-09-19,2024-09-24,2024-09-24,1,Sim,Enfermaria 2,Não
1990-02-24,M,874.901.623-78,Rorainópolis,RR,Diabetes,Penicilina,Moderadamente ativo,Covid-19,2024-04-25,Raio-X,Insulina,Monitoramento de glicose,2024-04-20,2024-04-21,2024-04-25,4,Não,Enfermaria 4,Sim
1998-07-05,M,956.732.481-64,Uiramutã,RR,Câncer,Penicilina,Ativo,Infecção urinária,2024-05-08,Eletrocardiograma,Insulina,Monitoramento de glicose,2024-05-06,2024-05-09,2024-05-09,3,Sim,Enfermaria 2,Não
1955-11-07,F,078.643.915-75,Iracema,RR,Hipertensão,Polen,Moderadamente ativo,Bronquite,2024-02-17,Tomografia,Insulina,Monitoramento de glicose,2024-02-16,2024-02-20,2024-02-29,2,Não,Enfermaria 2,Sim
1980-08-09,M,167.493.802-04,Rorainópolis,RR,Asma,Glúten,Moderadamente ativo,Bronquite,2024-02-10,Hemograma,Insulina,Coleta de sangue,2024-02-06,2024-02-10,2024-02-10,4,Não,Enfermaria 4,Não
1953-04-16,M,529.780.134-60,Boa Vista,RR,Hipertensão,Penicilina,Ativo,Gripe,2024-09-14,Urocultura,Paracetamol,Coleta de sangue,2024-09-13,2024-09-18,2024-09-18,1,Não,Enfermaria 4,Não
1955-05-07,F,645.780.392-00,São João da Baliza,RR,Asma,Nenhuma,Sedentário,Gripe,2024-08-20,Hemograma,Paracetamol,Monitoramento de glicose,2024-08-17,2024-08-21,2024-08-25,2,Não,Enfermaria 1,Sim
1946-05-29,F,036.871.952-95,Normandia,RR,Diabetes,Glúten,Moderadamente ativo,Bronquite,2024-02-02,Hemograma,Paracetamol,Oxigenoterapia,2024-01-31,2024-02-04,2024-02-04,1,Sim,Enfermaria 1,Sim
1966-07-22,M,053.619.472-61,Alto Alegre,RR,Doença cardíaca,Lactose,Sedentário,Bronquite,2024-06-13,Eletrocardiograma,Insulina,Oxigenoterapia,2024-06-10,2024-06-15,2024-06-15,0,Não,Enfermaria 5,Não
1984-11-05,F,760.341.825-90,Normandia,RR,Hipertensão,Glúten,Ativo,Infecção urinária,2024-06-03,Hemograma,Ibuprofeno,Monitoramento de glicose,2024-05-30,2024-06-02,2024-06-06,1,Sim,Enfermaria 1,Não
1981-10-19,F,013.796.854-00,Uiramutã,RR,Nenhuma,Glúten,Sedentário,Gripe,2024-01-05,Eletrocardiograma,Metformina,Coleta de sangue,2024-01-04,2024-01-08,2024-01-08,2,Não,Enfermaria 3,Sim
1952-12-04,M,041.865.237-62,Boa Vista,RR,Diabetes,Polen,Sedentário,Covid-19,2024-09-04,Eletrocardiograma,Metformina,Monitoramento de glicose,2024-08-30,2024-09-04,2024-09-04,3,Não,Enfermaria 1,Não
2006-05-04,M,672.195.083-95,Rorainópolis,RR,Doença cardíaca,Polen,Moderadamente ativo,Gripe,2024-04-13,Raio-X,Ibuprofeno,Monitoramento de glicose,2024-04-08,2024-04-09,2024-04-14,3,Sim,Enfermaria 5,Não
1985-07-31,M,457.210.389-50,Amajari,RR,Hipertensão,Polen,Sedentário,Gripe,2024-07-31,Urocultura,Insulina,Coleta de sangue,2024-07-30,2024-08-02,2024-08-02,4,Sim,Enfermaria 3,Sim
1998-11-28,F,760.859.421-76,Bonfim,RR,Câncer,Lactose,Sedentário,Gripe,2024-07-30,Eletrocardiograma,Insulina,Coleta de sangue,2024-07-25,2024-07-26,2024-07-26,3,Sim,Enfermaria 1,Sim
1996-09-15,M,712.358.946-73,Cantá,RR,Diabetes,Nenhuma,Sedentário,Gripe,2024-06-16,Tomografia,Salbutamol,Oxigenoterapia,2024-06-12,2024-06-14,2024-06-23,2,Sim,Enfermaria 2,Sim
1945-02-28,M,695.401.837-66,Normandia,RR,Nenhuma,Polen,Ativo,Infecção urinária,2024-08-22,Raio-X,Paracetamol,Coleta de sangue,2024-08-17,2024-08-21,2024-08-29,3,Não,Enfermaria 2,Não
1947-05-10,F,375.186.092-40,Uiramutã,RR,Câncer,Polen,Sedentário,Gripe,2024-06-25,Eletrocardiograma,Ibuprofeno,Monitoramento de glicose,2024-06-20,2024-06-23,2024-06-23,1,Sim,Enfermaria 3,Não
1952-05-12,M,186.524.379-55,Alto Alegre,RR,Hipertensão,Lactose,Sedentário,Covid-19,2024-08-01,Eletrocardiograma,Salbutamol,Coleta de sangue,2024-07-28,2024-08-02,2024-08-04,1,Não,Enfermaria 5,Sim
1990-05-21,M,578.062.319-86,Pacaraima,RR,Nenhuma,Glúten,Sedentário,Covid-19,2024-10-02,Tomografia,Salbutamol,Monitoramento de glicose,2024-09-27,2024-09-30,2024-09-30,4,Não,Enfermaria 3,Sim
2005-06-25,M,790.165.348-57,Rorainópolis,RR,Nenhuma,Glúten,Sedentário,Bronquite,2024-10-20,Hemograma,Insulina,Coleta de sangue,2024-10-16,2024-10-17,2024-10-22,5,Não,Enfermaria 5,Não
1959-08-20,F,475.981.023-41,Cantá,RR,Doença cardíaca,Penicilina,Ativo,Gripe,2024-03-01,Urocultura,Ibuprofeno,Oxigenoterapia,2024-02-25,2024-02-27,2024-02-28,4,Não,Enfermaria 1,Não
1948-11-18,M,251.947.380-05,Mucajaí,RR,Asma,Penicilina,Ativo,Covid-19,2024-05-28,Eletrocardiograma,Metformina,Monitoramento de glicose,2024-05-25,2024-05-28,2024-05-29,4,Não,Enfermaria 3,Sim
1953-11-29,M,346.175.982-19,Caroebe,RR,Asma,Polen,Sedentário,Infecção urinária,2024-10-02,Raio-X,Metformina,Oxigenoterapia,2024-09-27,2024-10-02,2024-10-05,4,Não,Enfermaria 2,Não
1948-07-11,M,201.354.967-99,São Luiz,RR,Diabetes,Glúten,Sedentário,Covid-19,2024-02-15,Hemograma,Ibuprofeno,Coleta de sangue,2024-02-13,2024-02-15,2024-02-19,5,Não,Enfermaria 4,Sim
1973-01-28,M,608.745.912-01,Rorainópolis,RR,Nenhuma,Penicilina,Sedentário,Bronquite,2024-04-25,Tomografia,Metformina,Oxigenoterapia,2024-04-23,2024-04-26,2024-05-01,0,Não,Enfermaria 5,Sim
1969-03-20,M,871.294.063-13,Uiramutã,RR,Asma,Nenhuma,Ativo,Gripe,2024-10-09,Urocultura,Ibuprofeno,Oxigenoterapia,2024-10-08,2024-10-12,2024-10-12,0,Não,Enfermaria 4,Não
1973-11-04,F,015.624.793-34,Rorainópolis,RR,Doença cardíaca,Lactose,Sedentário,Alergia,2024-03-21,Tomografia,Metformina,Coleta de sangue,2024-03-17,2024-03-18,2024-03-18,2,Não,Enfermaria 4,Não
2000-02-08,F,908.367.425-83,Caroebe,RR,Diabetes,Lactose,Ativo,Gripe,2024-09-14,Urocultura,Metformina,Monitoramento de glicose,2024-09-12,2024-09-17,2024-09-26,0,Não,Enfermaria 1,Não
1958-11-03,F,382.079.451-41,Caroebe,RR,Diabetes,Nenhuma,Sedentário,Covid-19,2024-08-01,Eletrocardiograma,Paracetamol,Coleta de sangue,2024-07-29,2024-07-31,2024-08-08,2,Não,Enfermaria 4,Não
1988-11-22,F,215.346.908-24,Pacaraima,RR,Hipertensão,Penicilina,Sedentário,Infecção urinária,2024-02-27,Tomografia,Salbutamol,Oxigenoterapia,2024-02-24,2024-02-28,2024-02-28,3,Não,Enfermaria 4,Não
1951-03-25,M,872.634.591-91,São Luiz,RR,Asma,Penicilina,Sedentário,Infecção urinária,2024-01-09,Tomografia,Paracetamol,Monitoramento de glicose,2024-01-05,2024-01-07,2024-01-12,4,Não,Enfermaria 4,Sim
1984-12-28,F,359.741.268-82,São João da Baliza,RR,Hipertensão,Polen,Sedentário,Covid-19,2024-03-05,Urocultura,Insulina,Monitoramento de glicose,2024-02-29,2024-03-04,2024-03-04,0,Sim,Enfermaria 5,Não
2000-02-09,F,457.206.138-62,São João da Baliza,RR,Asma,Glúten,Moderadamente ativo,Bronquite,2024-01-15,Raio-X,Insulina,Monitoramento de glicose,2024-01-10,2024-01-12,2024-01-19,2,Não,Enfermaria 4,Sim
2002-08-22,M,502.943.618-98,Boa Vista,RR,Nenhuma,Penicilina,Ativo,Gripe,2024-08-03,Tomografia,Insulina,Monitoramento de glicose,2024-07-31,2024-08-02,2024-08-04,4,Sim,Enfermaria 1,Não
1951-04-22,M,914.657.038-10,Bonfim,RR,Câncer,Penicilina,Sedentário,Infecção urinária,2024-07-24,Urocultura,Metformina,Coleta de sangue,2024-07-20,2024-07-24,2024-07-24,3,Não,Enfermaria 4,Não
2004-03-06,F,159.340.286-42,Uiramutã,RR,Doença cardíaca,Lactose,Moderadamente ativo,Covid-19,2024-07-24,Raio-X,Metformina,Coleta de sangue,2024-07-23,2024-07-25,2024-07-28,4,Não,Enfermaria 1,Sim
1989-12-26,F,760.352.419-99,Uiramutã,RR,Diabetes,Nenhuma,Sedentário,Bronquite,2024-03-01,Raio-X,Paracetamol,Monitoramento de glicose,2024-02-29,2024-03-03,2024-03-03,4,Não,Enfermaria 3,Não
1969-09-06,F,170.934.265-06,Mucajaí,RR,Nenhuma,Lactose,Sedentário,Bronquite,2024-08-29,Raio-X,Paracetamol,Monitoramento de glicose,2024-08-25,2024-08-29,2024-09-08,3,Sim,Enfermaria 2,Não
1951-02-23,M,562.471.930-25,Pacaraima,RR,Hipertensão,Nenhuma,Ativo,Gripe,2024-01-10,Urocultura,Insulina,Coleta de sangue,2024-01-07,2024-01-08,2024-01-08,3,Sim,Enfermaria 1,Não
1968-10-04,M,843.706.512-71,Rorainópolis,RR,Hipertensão,Lactose,Ativo,Covid-19,2024-03-09,Raio-X,Paracetamol,Coleta de sangue,2024-03-05,2024-03-06,2024-03-06,3,Não,Enfermaria 2,Sim
1956-11-23,M,784.305.296-83,Normandia,RR,Doença cardíaca,Nenhuma,Sedentário,Covid-19,2024-10-14,Raio-X,Paracetamol,Monitoramento de glicose,2024-10-10,2024-10-13,2024-10-13,4,Não,Enfermaria 5,Não
1953-10-03,M,837.249.651-09,Cantá,RR,Nenhuma,Lactose,Sedentário,Covid-19,2024-05-22,Eletrocardiograma,Ibuprofeno,Coleta de sangue,2024-05-19,2024-05-20,2024-05-20,0,Não,Enfermaria 2,Não
1975-04-04,M,635.417.089-48,Cantá,RR,Doença cardíaca,Lactose,Sedentário,Infecção urinária,2024-03-29,Raio-X,Ibuprofeno,Oxigenoterapia,2024-03-28,2024-03-30,2024-03-30,0,Sim,Enfermaria 3,Não
1983-11-10,M,602.184.753-90,Normandia,RR,Diabetes,Polen,Moderadamente ativo,Alergia,2024-05-04,Tomografia,Paracetamol,Coleta de sangue,2024-05-01,2024-05-05,2024-05-09,5,Não,Enfermaria 4,Sim
1949-05-20,M,509.832.476-92,Rorainópolis,RR,Nenhuma,Glúten,Ativo,Gripe,2024-05-14,Urocultura,Insulina,Oxigenoterapia,2024-05-11,2024-05-13,2024-05-13,5,Sim,Enfermaria 5,Sim
2000-05-17,F,318.754.926-82,Normandia,RR,Câncer,Polen,Ativo,Gripe,2024-04-20,Tomografia,Salbutamol,Monitoramento de glicose,2024-04-18,2024-04-22,2024-04-22,5,Não,Enfermaria 2,Não
1966-10-13,F,026.518.973-02,Iracema,RR,Hipertensão,Polen,Ativo,Infecção urinária,2024-05-16,Urocultura,Metformina,Monitoramento de glicose,2024-05-12,2024-05-17,2024-05-17,4,Sim,Enfermaria 5,Sim
1995-03-28,M,401.295.873-97,Alto Alegre,RR,Asma,Nenhuma,Sedentário,Infecção urinária,2024-06-01,Eletrocardiograma,Salbutamol,Oxigenoterapia,2024-05-31,2024-06-03,2024-06-08,4,Não,Enfermaria 1,Sim
1991-10-23,F,204.579.861-58,Mucajaí,RR,Asma,Lactose,Ativo,Alergia,2024-09-18,Raio-X,Ibuprofeno,Monitoramento de glicose,2024-09-15,2024-09-16,2024-09-21,1,Não,Enfermaria 2,Não
1973-06-25,M,043.526.798-10,Boa Vista,RR,Diabetes,Glúten,Ativo,Covid-19,2024-10-01,Tomografia,Salbutamol,Coleta de sangue,2024-09-30,2024-10-02,2024-10-11,5,Não,Enfermaria 3,Sim
1944-12-23,F,501.827.963-02,Bonfim,RR,Nenhuma,Penicilina,Ativo,Bronquite,2024-10-09,Eletrocardiograma,Salbutamol,Monitoramento de glicose,2024-10-08,2024-10-11,2024-10-13,0,Sim,Enfermaria 4,Não
1968-11-25,F,892.734.506-10,São João da Baliza,RR,Diabetes,Lactose,Ativo,Infecção urinária,2024-02-04,Urocultura,Paracetamol,Coleta de sangue,2024-02-03,2024-02-07,2024-02-17,1,Não,Enfermaria 2,Sim
1996-06-15,F,261.490.735-99,Boa Vista,RR,Câncer,Glúten,Sedentário,Infecção urinária,2024-01-01,Hemograma,Insulina,Coleta de sangue,2023-12-31,2024-01-04,2024-01-04,5,Não,Enfermaria 5,Não
1983-11-27,M,426.789.135-46,Pacaraima,RR,Diabetes,Penicilina,Sedentário,Gripe,2024-01-28,Hemograma,Ibuprofeno,Coleta de sangue,2024-01-23,2024-01-28,2024-01-31,5,Sim,Enfermaria 1,Sim
1997-08-20,F,654.301.897-66,Pacaraima,RR,Hipertensão,Nenhuma,Ativo,Gripe,2024-06-03,Eletrocardiograma,Paracetamol,Oxigenoterapia,2024-05-30,2024-06-02,2024-06-02,4,Sim,Enfermaria 1,Não
1992-11-17,M,958.640.713-66,Uiramutã,RR,Asma,Glúten,Sedentário,Gripe,2024-04-30,Tomografia,Metformina,Oxigenoterapia,2024-04-26,2024-04-30,2024-04-30,0,Não,Enfermaria 2,Não
1965-02-01,F,319.824.607-50,Normandia,RR,Hipertensão,Nenhuma,Sedentário,Alergia,2024-02-01,Eletrocardiograma,Paracetamol,Monitoramento de glicose,2024-01-30,2024-02-02,2024-02-02,2,Não,Enfermaria 5,Não
1957-03-04,F,743.519.086-10,Mucajaí,RR,Câncer,Nenhuma,Moderadamente ativo,Alergia,2024-06-25,Hemograma,Ibuprofeno,Coleta de sangue,2024-06-23,2024-06-25,2024-06-29,2,Sim,Enfermaria 5,Não
1974-05-04,M,342.965.870-56,São Luiz,RR,Doença cardíaca,Penicilina,Moderadamente ativo,Bronquite,2024-10-16,Hemograma,Metformina,Coleta de sangue,2024-10-14,2024-10-15,2024-10-15,1,Sim,Enfermaria 5,Sim
1944-12-08,M,205.481.379-60,Cantá,RR,Doença cardíaca,Polen,Sedentário,Alergia,2024-03-28,Hemograma,Paracetamol,Oxigenoterapia,2024-03-23,2024-03-24,2024-03-24,3,Sim,Enfermaria 2,Sim
1990-08-16,F,981.563.720-77,Bonfim,RR,Nenhuma,Penicilina,Moderadamente ativo,Infecção urinária,2024-06-11,Eletrocardiograma,Ibuprofeno,Oxigenoterapia,2024-06-10,2024-06-15,2024-06-15,4,Sim,Enfermaria 2,Não
1985-02-08,F,261.079.385-59,Caracaraí,RR,Diabetes,Polen,Moderadamente ativo,Infecção urinária,2024-03-14,Raio-X,Ibuprofeno,Coleta de sangue,2024-03-11,2024-03-13,2024-03-19,1,Sim,Enfermaria 4,Não
2006-07-27,M,321.786.940-04,São Luiz,RR,Hipertensão,Penicilina,Ativo,Covid-19,2024-05-14,Tomografia,Insulina,Coleta de sangue,2024-05-13,2024-05-17,2024-05-17,1,Não,Enfermaria 4,Sim
1987-06-24,F,425.189.763-37,Mucajaí,RR,Câncer,Glúten,Moderadamente ativo,Gripe,2024-10-19,Urocultura,Insulina,Monitoramento de glicose,2024-10-16,2024-10-20,2024-10-22,5,Sim,Enfermaria 1,Não
1950-03-12,M,695.120.374-16,Bonfim,RR,Nenhuma,Polen,Sedentário,Bronquite,2024-08-13,Raio-X,Metformina,Oxigenoterapia,2024-08-08,2024-08-11,2024-08-11,0,Não,Enfermaria 1,Não
2001-11-21,M,647.812.503-35,Pacaraima,RR,Doença cardíaca,Penicilina,Moderadamente ativo,Alergia,2024-04-05,Eletrocardiograma,Salbutamol,Oxigenoterapia,2024-04-02,2024-04-05,2024-04-05,4,Sim,Enfermaria 4,Não
1962-02-19,M,490.362.817-50,São Luiz,RR,Nenhuma,Polen,Moderadamente ativo,Covid-19,2024-01-25,Urocultura,Ibuprofeno,Coleta de sangue,2024-01-22,2024-01-25,2024-01-25,5,Sim,Enfermaria 1,Sim
1981-03-05,M,893.754.201-32,São Luiz,RR,Asma,Glúten,Ativo,Gripe,2024-07-18,Eletrocardiograma,Ibuprofeno,Coleta de sangue,2024-07-13,2024-07-16,2024-07-16,4,Não,Enfermaria 2,Sim
1959-11-17,M,478.905.632-56,São Luiz,RR,Câncer,Polen,Sedentário,Alergia,2024-02-17,Tomografia,Insulina,Coleta de sangue,2024-02-14,2024-02-18,2024-02-18,0,Não,Enfermaria 4,Não
1956-01-27,F,803.195.462-33,Rorainópolis,RR,Nenhuma,Lactose,Ativo,Covid-19,2024-01-23,Eletrocardiograma,Paracetamol,Monitoramento de glicose,2024-01-18,2024-01-19,2024-01-19,0,Sim,Enfermaria 1,Sim
1990-06-27,M,124.675.809-11,Bonfim,RR,Hipertensão,Penicilina,Moderadamente ativo,Gripe,2024-05-15,Urocultura,Paracetamol,Oxigenoterapia,2024-05-13,2024-05-14,2024-05-14,4,Não,Enfermaria 3,Não
